"콘텐츠ID","콘텐츠명","구군","위도","경도","장소","제목","부제목","주소","주소 기타 ","연락처","홈페이지","운영 및 시간","대표메뉴","이미지URL","썸네일이미지URL","상세내용"
"230","본전돼지국밥","동구","35.11661","129.0414","본전돼지국밥","본전돼지국밥","-","동구 중앙대로214번길 3-8","-","051-441-2946","-","08:30a.m. ~ 21:30p.m.","돼지국밥/순대국밥/내장국밥 , 수육백반","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220093930480_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220093930480_thumbL","부산의 수많은 돼지국밥식당 중에서도 손꼽히는 식당 중 한 곳으로, 부산역 인근에 위치하고 있어, 부산을 찾는 관광객들이 특히 많이 찾는 식당이기도 하다. 깊고 깔끔한 국물맛으로 유명하다."
"231","브라운핸즈백제","동구","35.116352","129.03912","브라운핸즈 백제","브라운핸즈 백제","-","동구 중앙대로 209번길 16","-","051-464-0332","-","10:00a.m. ~ 22:00p.m.","에스프레소, 아메리카노","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220094713384_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220094713384_thumbL","등록문화제로 지정이 되어 있는 부산최초근대병원건물을 개조하여 만든 디자인카페로 오래된 건물의 느낌을 살린 인테리어를 보는 것만으로도 이 곳을 찾을 가치가 있다. 세월의 흔적을 느끼며, 즐기는 커피의 맛은 무척 각별하다."
"233","금문","동래구","35.221874","129.0818","금문","금문","-","부산 동래구 온천장로119번길 57","-","051-555-4987","-","am 11:30 ~ pm 21:30","코스요리(1인), 금문자장","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220100137362_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220100137362_thumbL","화교 2세인 오너쉐프가 운영하는 30년 전통의 중국식당으로, 고급스러운 실내와 넓은 규모의 연회석을 가지고 있어 모임장소로 인기 있는 곳이다. 이 곳은 특히 코스요리가 유명하며, 수준 높은 중국요리들을 비교적 저렴한 가격으로 제공하고 있다."
"234","석화한정식","동구","35.13881","129.06189","석화한정식","석화한정식","-","부산 동구 조방로 21","-","051-632-5005","-","am 11:30 ~ pm 22:00","석화어머니 한정식, 석화고향 한정식","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819151649964_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819151649964_thumbL","차려지는 음식 하나하나가 먹기 아까울 정도로 섬세하게 담겨져 나온다. 격식있는 모임의 장소로도 유명한 고급한정식전문점으로, 버섯탕수와 전복초가 나오는 고향한정식과 관자숙 회와 갈비찜 장어구이가 나오는 어머니한정식이 대표메뉴."
"235","내당","동래구","35.219814","129.08208","내당","내당","-","동래구 금강공원로 20번길 23","-","051-550-2335","https://www.hotelnongshim.com/kr/index.php?pCode=naedang","pm 12:00 ~ pm 21:30","주방장 특선코스, 매화코스","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220102628704_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220102628704_thumbL","온천장에 위치한 농심호텔 한정식전문점으로 정원과 연못이 있는 전통가옥의 형식으로 지어진 고급스러운 한식당이다. 음식 역시 무척이나 고급스러우며, 보증된 맛을 가지고 있는이 곳은 주로 격식 있는 연회나 모임 등의 장소로 많이 찾는다."
"236","논두렁추어탕","동래구","35.206493","129.07968","논두렁추어탕","논두렁추어탕","-","부산 동래구 명륜로139번길 42-5","-","051-553-5769","-","10:00a.m. ~ 22:00p.m.","추어탕, 논고동무침","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220103144792_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220103144792_thumbL","저렴한 가격으로 좋은 음식을 제공하기 위해 모든 음식을 주인이 직접 만들고 있는 추어탕 전문점으로, 손님이 미안할 정도의 가격으로 음식을 판매하고 있다. 이 곳의 대표메뉴 추어 탕은 다른 곳보다 조금 맑은 국물이 특징으로 담백한 맛을 낸다."
"238","동래별장","동래구","35.220375","129.0795","동래별장","동래별장","-","부산 동래구 금강로123번길 12","-","051-552-0157","-","12:00p.m. ~ 21:00p.m.","점심정식, 저녁정식","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220104322822_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220104322822_thumbL","3,000여 평의 넓은 정원으로 인해 공원 같은 느낌을 주는 이 곳은 부산에 남아 있는 대표적인 근대 일본식주택이기도 하며, 전통궁중요리를 만드는 식당이 다. 한국을 방문한 국빈급 인사가 찾기도 할 만큼 유명한 곳으로, 칠절판, 궁중 신선로, 궁중 떡갈비 등의 특별한 메뉴를 즐길 수 있는 곳이다."
"239","봉식당","동래구","35.221752","129.08357","봉식당","봉식당","-","부산 동래구 온천장로119번길 26","-","051-556-9911","-","12:00p.m. ~ 22:00p.m.","A코스, B코스","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220104915203_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220104915203_thumbL","한식당을 운영했던 어머니와 프렌치 쉐프인 아들이 함께 음식을 만들고 있는 유니크한 식당 으로, 한식과 양식이 결합된 퓨전코스요리를 만들고 있다. 이 곳의 음식은 간단하게 ‘예쁘고, 맛있다’ 라는 두마디로 표현이 가능하다."
"240","산들바람","동래구","35.19958","129.10486","산들바람","산들바람","-","부산 동래구 안락로 71","-","051-524-3425","-","11:00a.m. ~ 22:00p.m.","해물찜 / 꽃게찜","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220110638852_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220110638852_thumbL","20년째 운영중인 전통향토음식 전문점으로 찜 요리를 주문하면 해물파전, 찜, 낙지 야채 칼국수가 코스처럼 나오는데 맛과 양이 모두 만족스럽다. 밥은 솥밥으로 제공되며, 보쌈과 해물찜이 특히 인기 있다."
"242","신발원","동구","35.114815","129.03873","신발원","신발원","-","동구 대영로243번길62(초량동)","-","051-467-0177","-","am 11:00 ~ pm 20:00","고기만두, 군만두","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220111654951_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220111654951_thumbL","부산차이나타운의 양대 만두전문점 중 하나인 유명한 식당으로, 시간과 관계없이 길게 줄이 서있는 곳이다. 중국빵과 만두를 전문으로 하는 이 곳의 만두는 두께감이 느껴지는 푹신한 만두피와 풍부한 육즙의 고기만두가 대표음식이다."
"243","완차이","동구","35.11345","129.03845","완차이","완차이","-","동구 중앙대로179번길 3","-","051-465-8868","-","am 11:30 ~ pm 22:00","북경오리, 풍미가지","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220112300229_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220112300229_thumbL","부산차이나타운의 중국요리 전문점 중 하나로, 대만인 부부가 운영하는 식당이다. 유명한 중식당의 거리인 이 곳에서도 특색 있는 요리로 유명하며, 북경오리를 전문으로 하는 곳이기도 하다. 이 곳의 화교들이 자주 찾는 식당."
"244","조방제일한우","동구","35.140778","129.06201","조방제일한우","조방제일한우","-","부산 동구 조방로42번길 12","-","051-637-2000","-","am 11:30 ~ pm 22:00","모듬숯불구이, 한우숯불불고기","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220113227180_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220113227180_thumbL","한우 모듬숯불구이와 숯불불고기가 유명한 한우구이 전문점. 한우를 포장하여 판매하기도 하며, 오픈 되어 있는 정육코너의 직원들이 고기를 썰고 있는 모습은 한층 더 고기품질에 대한 믿음을 준다. 어떤 부위의 고기든 추천 할만하다."
"245","카페초량 1941","동구","35.11969","129.02942","카페초량 1941","카페초량 1941","-","동구 망양로 533-5","-","051-462-7774","http://www.choryang.com","10:00a.m. ~ 19:00p.m.","바닐라우유, 생강우유","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220113754339_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220113754339_thumbL","동구의 관광명소인 ‘이바구길’에 위치한 이 카페는 1941년 당시 부산에 살던 일본인에 의해 지어진 집을 개조한 곳으로, 주변 환경을 포함해 외관도 실내도 모두 1941년을 연상시 키는 레트로한 감성을 가지고 있다. 메인메뉴는 자체개발한 예쁜 병에 담겨있는 다양한 ‘우 유’이다."
"246","할매국밥","동구","35.141026","129.05615","할매국밥","할매국밥","-","동구 중앙대로533번길 4","-","051-646-6295","-","10:00a.m. ~ 20:00p.m.","따로국밥, 수육백반","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220114303891_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220114303891_thumbL","60년 전통의 돼지국밥전문점으로 식사시간에는 30분 이상을 기다려야 하는 유명한 식당이 다. 대부분의 돼지국밥들과는 다른 맑은 국물이 특징이며, 대충 썬 것 같은 돼지수육은 예상 외로 부드러운 맛이다. 돼지국물과 고기가 따로 나오는 수육백반이 특히 인기 있다."
"247","소문난동래파전","동래구","35.218555","129.07838","소문난동래파전","소문난동래파전","-","부산 동래구 금강공원로 55","-","051-553-5464","https://blog.naver.com/PostList.nhn?blogId=gudgml1","10:00a.m. ~ 22:00p.m.","동래파전, 빈대떡","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220132506435_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220132506435_thumbL","‘백종원의 3대천왕’이라는 유명 요리버라이어티쇼에 출연했던 곳으로, 금강공원 앞에 위치 하고 있는 유명한 파전전문점이다. 오징어, 새우, 홍합 등 다양한 해물과 돼지고기 위에 계란이 올라가 있는 파전은 초고추장에 찍어 먹는 것이 가장 맛있다고 한다."
"248","옹기마을손칼국수","동래구","35.199234","129.0985","옹기마을손칼국수","옹기마을손칼국수","-","동래구 충렬대로359번길 29","-","051-524-5595","-","am 10:00 ~ pm 22:00","보리밥, 팥칼국수","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220133017336_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191220133017336_thumbL","이 지역 사람들에게 꾸준히 사랑받고 있는 소박한 식당으로, 보리밥과 칼국수 전문식당이다. 다양한 나물과 양념 그리고, 된장찌개를 넣어 비벼먹는 보리밥과 함께 쉽게 보기 힘든 메뉴인 팥 칼국수가 인기메뉴이다."
"250","정림","동래구","35.20304","129.08517","정림","정림","-","부산 동래구 충렬대로237번길 31-3","-","051-552-1211","-","pm 12:00 ~ pm 21:00","정림정찬, 행복밥상","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819153512726_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819153512726_thumbL","반찬으로 쓰이는 모든 장아찌는 산야초로 만든 효소로 3년 이상 숙성시켜 만들고, 토속적인 인테리어가 차려지는 음식과 무척 잘 어울린다. 이 곳은 약선요리를 전문으로 하는 한정식 식당으로, 섬세하게 담겨 나오는 음식들을 먹다보면 건강해지는 느낌이 든다."
"251","원조본가산곰장어집","동래구","35.202164","129.08574","원조본가산곰장어집","원조본가산곰장어집","-","부산 동래구 명륜로98번길 42","-","051-553-8377","-","am 11:30 ~ am 00:30","소금구이, 양념구이","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819092106369_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819092106369_thumbL","동래시장 옆 곰장어골목으로 불리는 이 곳에서 가장 유명한 식당으로, 살아있는 곰장어와 붕장어를 직접 구워먹는 곳이다. 곰장어는 통구이, 양념구이, 소금구이 등으로 즐길 수 있으며, 생 곰장어가 없으면 휴업한다는 문구가 믿음을 준다."
"559","용장어요리 전문점","강서구","35.11817","128.89203","용장어요리 전문점","용장어요리 전문점","-","강서구 낙동남로 682번길94","-","051-941-5031","-","11:30a.m. ~ 21:30p.m.","민물장어덮밥 , 바다장어덮밥","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818102206448_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818102206448_thumbL","아주 유명한 장어요리전문 식당으로, 넓은 주차장과 3개동의 식당건물이 있다. 바다장어와 민물장어를 구이와 덮밥으로 판매하고 있으며, 전 좌석이 룸형태로 되어 있어, 여유있는 식사를 즐길 수 있다."
"560","남산팔각정","금정구","35.263256","129.0885","남산팔각정","남산팔각정","-","금정구 금강로 626","-","051-582-8866","-","12:00p.m. ~ 22:00p.m.","오리불고기, 옻오리","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818113108281_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818113108281_thumbL","2007년 서울 국제 음식박람회 보건복지부 장관상을 수상한 오리요리 전문점으로, 직접 준비한 좋은 물로 음식을 만든다고 한다. 한정식처럼 푸짐한 상이 차려지는 이 곳은 오리백숙으로 유명하다."
"561","산성집","금정구","35.244198","129.05556","산성집","산성집","-","금정구 산성로 524 (금성동)","-","051-517-5546","-","am 09:00 ~ pm 22:00","흑염소숯불구이, 오리불고기","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818125407099_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818125407099_thumbL","부산시 향토음식 지정점인 흑염소 불고기 전문점. 흑염소 식당들이 120여개나 있는 이 지역 에서도 대표적인 식당으로 흑염소 숯불구이, 오리불고기, 토종닭, 산성토산주, 도토리묵 및계절에 따른 산채나물 요리 등 토속적인 음식들이 준비되어 있다."
"563","현대가든","금정구","35.24546","129.05551","현대가든","현대가든","-","금정구 산성로 510(금성동)","-","051-517-6767","-","10:00a.m. ~ 22:00p.m.","흑염소불고기 , 돼지 통삼겹 숯불바베큐","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818131204424_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818131204424_thumbL","흑염소불고기를 전문식당이 120여개나 있는 이 곳에서도 특히 유명한 식당. 숯불에 직접 구워주는 흑염소숯불구이와 오리숯불구이가 대표메뉴이며, 다른 곳에서는 보기 힘든 통삼 겹살 숯불 바비큐도 인기 있다."
"567","송화루","동래구","35.20286","129.06548","송화루","송화루","-","부산 동래구 아시아드대로207번길 9","-","051-504-5415","-","am 10:30 ~ pm 21:00","탕수육정식 , 칠리새우정식","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818180055758_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818180055758_thumbL","조리기능장인 중식의 대가 조창현쉐프가 운영하는 중식당인 이 곳은, 특이하게 중국요리정 식메뉴를 판매하고 있다. 정식에는 짜장면과 짬뽕이 기본으로 나오며, 공기밥도 서비스로 제공된다. 저렴한 가격에 중국식 코스요리를 먹은 느낌을 준다."
"568","코모도테이블","동래구","35.19228","129.10095","코모도테이블","코모도테이블","-","부산 동래구 온천천로 431번길 12-15","-","010-7533-5478","-","am 10:30 ~ pm 22:00","콥샐러드 , 그릴드아보카도샌드위치","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819153416941_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819153416941_thumbL","주말의 여유를 즐기기 좋은 온천천카페거리의 브런치카페로 다양한 브런치메뉴들이 준비 되어 있다. 커다란 통새우와 계란, 아보카도, 올리브 등이 푸짐하게 담겨져 있는 콥샐러드가 인기메뉴로 분위기도 좋고 맛도 좋은 곳이다."
"571","랜드마크9","부산진구","35.15435","129.06453","랜드마크9","랜드마크9","-","부산 부산진구 전포대로199번길 9 랜드마크9","-","010-3560-7760","-","am 11:00 ~ pm 23:00","나이아가라폭포, 오페라하우스","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819095056693_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819095056693_thumbL","전포카페거리의 카페 중 가장 큰 규모 자랑하는 이 곳은, 카페와 편집숍, 커피박물관이 함께 있는 복합문화공간이다. 고급스러운 인테리어의 매장에선 다양한 빵을 만드는 모습이 보인 다. 친구와 함께 시간을 보내기 좋은 곳이다."
"577","영변횟집","해운대구","35.1808","129.20293","영변횟집","영변횟집","-","부산 해운대구 송정해변로 30","-","051-703-7590","-","11:00a.m. ~ 21:30p.m.","새꼬시(넙치), 모듬회","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818134302422_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818134302422_thumbL","뼈와 함께 먹는 잘게 썬 세꼬시가 특히 유명한 생선회전문점으로, 도다리, 광어, 우럭, 돌돔, 농어 등 다양한 활어를 철에 따라 즐길 수 있다. 특히 가자미나 광어를 이용한 세꼬시가 인기 메뉴로 회를 주문하면 상을 꽉 채우는 반찬과 해산물 등이 함께 제공된다."
"579","가마솥생복집","기장군","35.246918","129.21342","가마솥생복집","가마솥생복집","-","기장군 기장읍 차성로327-2","-","051-722-2995","-","10:00a.m. ~ 22:00p.m.","복지리, 복튀김","https://www.visitbusan.net/uploadImgs/files/cntnts/20200306144718985_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200306144718985_thumbL","16년째 운영하고 있는 복어요리 전문식당으로 유명인사들이 많이 찾는 식당이기도 하다. 수 많은 복어요리식당 중에서도 손꼽히는 식당으로 국물이 맛있기로 유명하다. 많은 종류의 반찬이 함께 나온다."
"864","로다로지","강서구","35.106216","128.92369","로다로지","로다로지","-","부산 강서구 명지국제12로19번길 20-10","-","051-201-0456","-","am 09:00 ~ pm 21:00","바게트 , 올리브치아바타","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818093804412_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818093804412_thumbL","여러 가지의 반죽(르방)을 사용해 오랫동안 발효하여, 씹을수록 고소하고, 소화가 잘되는 것이 특징이다. 한국인이 주식으로 먹을 수 있는 빵을 만드는 것이 목표 이며, 바게트와 올리브치아바타가 특히 인기 있다."
"865","방코","강서구","35.11546","128.92226","방코","방코","-","부산 강서구 낙동남로 991번길 27","-","051-271-2068","-","am 11:30 ~ pm 20:30","풍기 트러플 피자 , 무화과 블루치즈 피자","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818100408773_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818100408773_thumbL","특이한 외관의 이 건물은 화덕에 구운 피자와 파스타를 만드는 곳이다. 신선한 재료와 새로운 조리법을 사용하여 풍부하고 담백한 맛을 내는 것이 특징이다. 트러플로 향을 낸 피자와 블루치즈를 사용한 피자가 대표메뉴이다."
"866","복이 있는 202갈삼","강서구","35.106735","128.93083","복이 있는 202갈삼","복이 있는 202갈삼","-","부산 강서구 명지새동네길2번길 46","-","051-291-0317","-","am 11:00 ~ pm 22:00","갈삼구이 , 조개샤브","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818100933671_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818100933671_thumbL","해산물인 갈미조개와 삼겹살을 같이 구워먹는 메뉴로 유명하며, 3층에는 직접 운영하는 카페도 있다. 이 지역에 많은 동종식당이 있으나, 이 음식을 개발한 곳이라고 한다.갈삼구이와 조개샤브가 대표메뉴이다."
"867","왕바지식당(가덕도)","강서구","35.015903","128.83472","왕바지식당(가덕도)","왕바지식당(가덕도)","-","부산 강서구 가덕해안로1169번길 105","-","051-971-5477","-","am 10:00 ~ pm 17:30","해물전골 백숙, 해물전골","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818101909006_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818101909006_thumbL","풍부한 해산물이 들어가는 해물백숙으로 유명한 이 곳은 한국적인 분위기의 해안경치를 감상하며, 식사하는 특별한 경험을 할 수 있는 식당이다. 주인과 가족들이 직접 잡은 해산 물을 사용한다."
"868","이것이 코다리다","강서구","35.09741","128.92395","이것이 코다리다","이것이 코다리다","-","부산 강서구 명지국제8로 286","-","051-271-2068","-","am 11:00 ~ pm 22:00","시래기 코다리 조림 , 시래기 코다리조림 점심특선","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818104224917_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818104224917_thumbL","말린 명태인 코다리조림을 전문으로 하는 곳으로, 배추겉잎과 튀긴 두부가 들어있는 매콤하고 푸짐한 음식을 만든다. 생선뼈가 발라져 있어 편하게 먹을 수 있는 것이 장점이다."
"869","이프리오","강서구","35.145397","128.88576","이프리오","이프리오","-","부산 강서구 범방4로 32","-","051-973-2825","-","am 10:00 ~ pm 22:50","아메리카노, 아이스, 레드플라워","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818105654996_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818105654996_thumbL","주위경관과 건물외경은 물론 건축상을 수상한 인테리어가 무척 고급스럽다. 갓 구워낸 베이커리와 엄선된 생두로 직접 로스팅 한 커피가 준비되어 있고, 직접 만든 과일차와 꽃차가 특색있는 곳이다."
"870","초밥 잘하는 오빠","강서구","35.082623","128.8777","초밥 잘하는 오빠","초밥 잘하는 오빠","-","부산 강서구 신호산단2로 69","-","051-832-5858","-","am 11:30 ~ pm 21:00","1번 모듬(12개), 메로구이, 연어머리 구이","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818110707923_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818110707923_thumbL","유명한 푸드트럭에서 시작해 매장이 된 곳으 로, 음식가격과 메뉴구성 등을 푸드트럭 때의 방식으로 저렴하게 먹을 수 있도록 운영하고 있으며, 모든 재료와 소스를 직접 만들어서 사용하고 있다."
"871","홍익돈까스(명지)","강서구","35.09721","128.92484","홍익돈까스(명지)","홍익돈까스(명지)","-","부산 강서구 명지국제8로 296","-","051-293-5009","-","am 11:30 ~ pm 21:30","홍익 왕 돈까스, 해물볶음 우동","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819142254397_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819142254397_thumbL","유명한 식당인 홍익돈까스의 분점으로, 매장이 무척 청결하게 관리되고 있으며, 점원들도 친절하다. 당일만 사용되는 신선한 재료만 사용하는 이 곳은 돈까스와 해물볶음우동이 대표메뉴이다."
"872","구포촌국수","금정구","35.266575","129.08475","구포촌국수","구포촌국수","-","부산 금정구 금샘로 490","-","051-515-1751","-","am 10:30 ~ pm 19:00","국수","https://www.visitbusan.net/uploadImgs/files/cntnts/20200820091343295_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200820091343295_thumbL","국수 한 가지만 만들고 있는 정말 오래되고 유명한 식당이다. 30년간 운영하던 할머니에게서 손녀로 이어진 것도 벌써 20년이 다되어간다. 특별 주문한 국수면만 사용하며, 멸치와 무를 넣고 24시간 고아 낸 육수는 풍부한 맛을 낸다. 누구에게든 추천해주고 싶은 맛이다."
"873","배가왕송정점","해운대구","35.172676","129.19751","배가왕송정점","배가왕송정점","-","부산 해운대구 송정구덕포길 70-1","-","051-703-5597","-","am 11:00 ~ pm 20:30","배가왕칼국수, 배가왕김밥","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818131333843_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818131333843_thumbL","송정 해안가에 위치한 칼국수전문점으로, 국물이 맛있기로 유명하다. 왕만두가 올려져 나오는 칼국수는 테이블에 미리 세팅되어 있는 들깨와 고춧가루 청양고추 등을 첨가하면 더욱 맛있어진다고 한다. 사이드 메뉴인 김밥도 인기메뉴."
"874","티원","금정구","35.27885","129.08011","티원","티원","-","부산광역시 금정구 범어사로 363","-","051-531-2220","-","am 10:00 ~ pm 23:00","목련차, 향기로운 블렌딩티","https://www.visitbusan.net/uploadImgs/files/cntnts/20200820091304672_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200820091304672_thumbL","심플하고 아름다운 외관의 이 건물은 다른 카페들과 달리 커피가 아닌 차를 주 메뉴로 하는 곳으로, 직접 블랜딩한 특색있는 차들을 만날 수 있다. 매장에서 버스킹, 미술전시 등이 열리고 있는 문화공간 이기도 하다."
"875","송정젬스톤","해운대구","35.17134","129.1976","송정젬스톤","송정젬스톤","-","부산 해운대구 송정구덕포길 100","-","051-703-4802","-","am 10:00 ~ am 02:00","아메리카노","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819170221702_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819170221702_thumbL","송정해안에 위치한 이 멋진 건물은 바다를 즐기기 좋은 카페로, 실내에는 다양한 스타일의 좌석이 준비되어 있어, 취향에 맞는 자리를 고르는 재미가 있다. 빵이 맛있기로도 유명한이 곳은, 특히 밤바다의 색채를 즐기는 곳으로도 유명하다."
"877","얼크니손칼국수(기장본점)","기장군","35.255756","129.21614","얼크니손칼국수(기장본점)","얼크니손칼국수(기장본점)","-","부산 기장군 기장읍 차성로 417번길 18","-","051-721-3487","-","am 11:30 ~ pm 21:30","얼크니손칼국수, 만두","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819144753937_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819144753937_thumbL","간단히 준비된 샤브샤브를 먹은 후 직접 면을 넣고 조리해 먹는 칼국수 가격에 비해 푸짐한 재료들이 특징이다. 먼저 샤브샤브를 먹고 그 국물에 칼국수를 만들어 먹고 나면, 점원이 볶음밥을 만들어 준다."
"878","일광바다","기장군","35.260983","129.23349","일광바다","일광바다","-","부산 기장군 일광면 기장해안로 1312","-","051-724-7188","-","am 11:00 ~ pm 23:00","멸치쌈밥, 도다리쑥국","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819144841303_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819144841303_thumbL","일본과 제주도 부산 등의 여러 호텔에서 근무했던 베테랑 오너쉐프가 운영하고 있는 곳으 로, 생선회와 함께 한국식 해산물요리들을 즐길 수 있다. 한식메뉴인 멸치쌈밥과 도다리쑥 국이 인기 있다."
"879","정약방","기장군","35.253445","129.19466","정약방","정약방","-","부산 기장군 기장읍 반송로 1392","-","051-723-6767","-","pm 12:00 ~ pm 21:30","물국수, 만두","https://www.visitbusan.net/uploadImgs/files/cntnts/20200820091623290_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200820091623290_thumbL","직접 준비한 쌀과 직접 만든 면을 사용하는 식당으로 모든 음식은 주문과 동시에 즉석으로 만들어진다. 건강한 음식을 추구하는 이 곳은 국수와 만두가 인기 있는 메뉴이다."
"880","최선장","기장군","35.18449","129.2127","최선장","최선장","-","부산 기장군 기장읍 공수해안길 27-1","-","051-722-6622","-","am 10:00 ~ pm 21:00","전복죽, 최선장(생선회,해산물)","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819145032680_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819145032680_thumbL","전복요리 전문점으로, 이 지역 사람들만 안다는 숨겨진 식당이다. 주인인 최선장의 배로 조업해온 신선한 재료들로 요리를 만든다. 전복죽과 직접 조업해온 생선회와 해산물로 구성된 최선장 이라는 메뉴가 인기있다."
"881","카페 베이스","기장군","35.215145","129.22401","카페 베이스","카페 베이스","-","부산 기장군 기장읍 연화1길 73","-","051-721-7474","-","am 11:00 ~ pm 22:00","아메리카노, 마테티한라봉에이드","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819145126075_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819145126075_thumbL","아름다운 해안경관과 네츄럴한 인테리어가 잘어울린다. 베이킹과 음료들도 높은 수준의 맛이지만, 전망 좋은 카페로 유명한 이 곳에서 무엇보다 좋은 것은 분위기다. 오후 1시에는 갓 구워진 빵이 준비된다."
